Time,Browser,OS,Resolution,Location,Host Name,IP Address,IP Label,Web Page,Referring Link,Search Keywords,Type,Google Ranking,Original Link
20:41:44,Chrome 56.0,Win10,1366x768,"Tralee, Kerry, Ireland",EOBO Limited,88.87.168.242,,http://aoifesayers.com/workPlacement.html#week6,http://sophos-mailhub-2.ittralee.ie:32224/?NDUwMzE4NTQ0NDQ1MWM1NTU9NThCMzVERDdfMTAyNTZfMjAyMTdfMSYmYTViMWY0MDVlMTY1ODYwPTExMzMmJnVybD1odHRwJTNBJTJGJTJGYW9pZmVzYXllcnMlMkVjb20lMkZ3b3JrUGxhY2VtZW50JTJFaHRtbCUyM3dlZWs2,,,,
08:33:03,Chrome 56.0,Win10,1536x864,"Tralee, Kerry, Ireland",Eircom,95.45.102.75,Continuum?,http://aoifesayers.com/workPlacement.html,,,,,
22:56:22,Chrome 56.0,Win10,1536x864,"Killarney, Kerry, Ireland",IVERTEC,185.99.139.242,,http://aoifesayers.com/workPlacement.html,,,,,
22:51:39,Chrome 56.0,Win10,1536x864,"Killarney, Kerry, Ireland",IVERTEC,185.99.139.242,,file:///C:/Users/seamus/Desktop/public_html/workPlacement.html#week6,,,,,
22:51:07,Chrome 56.0,Win10,1536x864,"Killarney, Kerry, Ireland",IVERTEC,185.99.139.242,,file:///C:/Users/seamus/Desktop/public_html/workPlacement.html#week6,,,,,
22:50:22,Chrome 56.0,Win10,1536x864,"Killarney, Kerry, Ireland",IVERTEC,185.99.139.242,,file:///C:/Users/seamus/Desktop/public_html/workPlacement.html#week6,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
